アイテムID,名称,値段,ジャンル,戦闘,通常,捨てる,装飾,転生,スキルID,説明文。
0,なし,0,255,0,0,0,0,0,0,NULL。
1,Item001,0,255,0,0,1,0,0,0,Item００１。
2,Item002,0,255,0,0,1,0,0,0,Item００２。
3,Item003,0,255,0,0,1,0,0,0,Item００３。
4,Item004,0,255,0,0,1,0,0,0,Item００４。
5,Item005,0,255,0,0,1,0,0,0,Item００５。
6,Item006,0,255,0,0,1,0,0,0,Item００６。
7,Item007,0,255,0,0,1,0,0,0,Item００７。
8,Item008,0,255,0,0,1,0,0,0,Item００８。
9,Item009,0,255,0,0,1,0,0,0,Item００９。
10,数珠,150,0,0,1,1,0,0,0,使い捨ての数珠。\n１００歩進む間人形を寄せ付けなくなる。
11,護符,250,0,0,1,1,0,0,0,使い捨ての護符。\n２００歩進む間人形を寄せ付けなくなる。
12,勾玉,350,0,0,1,1,0,0,0,使い捨ての勾玉。\n２５０歩進む間人形を寄せ付けなくなる。
13,Item013,0,255,0,0,1,0,0,0,Item０１３。
14,Item014,0,255,0,0,1,0,0,0,Item０１４。
15,Item015,0,255,0,0,1,0,0,0,Item０１５。
16,銅銭,400,0,0,0,1,0,0,0,貨幣としては使えない。\n安い値段で売れる。
17,時計,400,0,0,0,1,0,0,0,外の世界から流れ着いた時間を教えてくれる道具。\n安い値段で売れる。
18,Item018,0,255,0,0,1,0,0,0,Item０１８。
19,Item019,0,255,0,0,1,0,0,0,Item０１９。
20,砂金,1000,0,0,0,1,0,0,0,砂状の純金。\nそこそこの値段で売れる。\n怨霊は憑いていない。
21,真珠,1000,0,0,0,1,0,0,0,白色の宝石。\nそこそこの値段で売れる。
22,Item022,0,255,0,0,1,0,0,0,Item０２２。
23,Item023,0,255,0,0,1,0,0,0,Item０２３。
24,キノコの粉,3000,0,0,0,1,0,0,0,何に使うのかは不明。\n結構な値段で売れる。\n取扱注意。
25,魔導書,3000,0,0,0,1,0,0,0,何と書いてあるのかは不明。\n結構な値段で売れる。
26,二折携帯ゲーム機,6000,0,0,0,1,0,0,0,二つ折りの携帯ゲーム機。
27,二折携帯ゲーム機,6000,0,0,0,1,0,0,0,二つ折りの携帯ゲーム機。\n幻想郷では使えそうにないので 売って 帰れたら 買い直そう。
28,銀貨,10000,0,0,0,1,0,0,0,貨幣としては使えない。\n高額で売れる。
29,ビンテージワイン,10000,0,0,0,1,0,0,0,年代物のワイン。\n高額で売れる。
30,Item030,0,255,0,0,1,0,0,0,Item０３０。
31,Item031,0,255,0,0,1,0,0,0,Item０３１。
32,金貨,20000,0,0,0,1,0,0,0,貨幣としては使えない。\nかなり高額で売れる。
33,魔力の結晶,20000,0,0,0,1,0,0,0,魔力が長い時間を経て結晶化した物。\nかなり高額で売れる。
34,Item034,0,255,0,0,1,0,0,0,Item０３４。
35,Item035,0,255,0,0,1,0,0,0,Item０３５。
36,Item036,0,255,0,0,1,0,0,0,Item０３６。
37,魔力の欠片,400,0,0,0,1,0,0,0,結晶化した魔力の欠片。何かに使えそうだから とっておこう。
39,Item038,0,255,0,0,1,0,0,0,Item０３８。
39,Item039,0,255,0,0,1,0,0,0,Item０３９。
40,Item040,0,255,0,0,1,0,0,0,Item０４０。
41,Item041,0,255,0,0,1,0,0,0,Item０４１。
42,転生用印セット,0,0,0,0,1,0,0,0,Item０４２。
43,紅の印,0,0,0,0,0,0,1,0,紅色の印章。\n転生する時にセットすると 人形に紅の印が付く。
44,蒼の印,0,0,0,0,0,0,1,0,蒼色の印章。\n転生する時にセットすると 人形に蒼の印が付く。
45,黒の印,0,0,0,0,0,0,1,0,黒色の印章。\n転生する時にセットすると 人形に黒の印が付く。
46,白の印,0,0,0,0,0,0,1,0,白色の印章。\n転生する時にセットすると 人形に白の印が付く。
47,碧の印,0,0,0,0,0,0,1,0,碧色の印章。\n転生する時にセットすると 人形に碧の印が付く。
48,Item048,0,255,0,0,1,0,0,0,Item０４８。
49,透の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 全能力の個体ランクが変化しない。
50,金の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると ＨＰの個体ランクが変化しない。
51,紅の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 集弾の個体ランクが変化しない。
52,蒼の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 集防の個体ランクが変化しない。
53,黒の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 散弾の個体ランクが変化しない。
54,白の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 散防の個体ランクが変化しない。
55,碧の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 俊敏の個体ランクが変化しない。
56,虹の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 継承する個体ランクが増える。
57,Item057,0,255,0,0,1,0,0,0,Item０５７。
58,Item058,0,255,0,0,1,0,0,0,Item０５８。
59,Item059,0,255,0,0,1,0,0,0,Item０５９。
60,Item060,0,255,0,0,1,0,0,0,Item０６０。
61,Item061,0,255,0,0,1,0,0,0,Item０６１。
62,Item062,0,255,0,0,1,0,0,0,Item０６２。
63,Item063,0,255,0,0,1,0,0,0,Item０６３。
64,Item064,0,255,0,0,1,0,0,0,Item０６４。
65,Item065,0,255,1,1,1,0,0,0,Item０６５。
66,Item066,0,255,1,1,1,0,0,0,Item０６６。
67,Item067,0,255,1,1,1,0,0,0,Item０６７。
68,Item068,0,255,1,1,1,0,0,0,Item０６８。
69,Item069,0,255,1,1,1,0,0,0,Item０６９。
70,Item070,0,255,1,1,1,0,0,0,Item０７０。
71,藤原煎餅,300,1,1,1,1,0,0,0,竹炭で焼かれた堅焼き煎餅。\nＨＰを２０回復する。
72,白玉団子,500,1,1,1,1,0,0,0,白玉楼主人のお墨付きの団子。\nＨＰを５０回復する。
73,地霊饅頭,700,1,1,1,1,0,0,0,お土産に大人気の饅頭。\nＨＰを１００回復する。
74,霧の水羊羹,1200,1,1,1,1,0,0,0,甘さ控えめの水羊羹。\nＨＰを２００回復する。
75,太陽の餡蜜,2500,1,1,1,1,0,0,0,果物たっぷりの餡蜜。\nＨＰを全回復する。
76,有頂天セット,3000,1,1,1,1,0,0,0,天界産の桃の詰め合わせ。\nＨＰを完全回復し 状態異常を回復する。
77,守矢の神酒,1500,1,1,1,1,0,0,0,守矢神社で献供された神酒。\n戦闘不能を回復し ＨＰを半分回復する。
78,博麗の神酒,4000,1,1,1,1,0,0,0,博麗神社で献供された神酒。\n戦闘不能を回復し ＨＰを全回復する。
79,命蓮茶,600,1,1,1,1,0,0,0,命蓮寺の尼僧が淹れたお茶。\nまったりした気分になり 状態異常を回復する。
80,Item080,0,255,1,1,1,0,0,0,Item０８０。
81,Item081,0,255,1,1,1,0,0,0,Item０８１。
82,Item082,0,255,1,1,1,0,0,0,Item０８２。
83,Item083,0,255,1,1,1,0,0,0,Item０８３。
84,純米酒,1200,255,1,1,1,0,0,0,人形のスキル１つのＳＰを１０回復させる。\n未実装。
85,本醸造酒,2000,255,1,1,1,0,0,0,人形のスキル１つのＳＰを全回復させる。\n未実装。
86,吟醸酒,3000,255,1,1,1,0,0,0,人形のスキル全てのＳＰを１０回復させる。\n未実装。
87,大吟醸酒,4500,255,1,1,1,0,0,0,人形のスキル全てのＳＰを全回復させる。\n未実装。
88,Item088,0,255,1,1,1,0,0,0,Item０８８。
89,Item089,0,255,1,1,1,0,0,0,Item０８９。
90,Item090,0,255,1,1,1,0,0,0,Item０９０。
91,Item091,0,255,1,1,1,0,0,0,Item０９１。
92,七色の飴,4800,1,0,1,1,0,0,0,七色をした飴玉。\n人形のレベルを１上げる。
93,Item093,0,255,1,1,1,0,0,0,Item０９３。
94,Item094,0,255,1,1,1,0,0,0,Item０９４。
95,Item095,0,255,1,1,1,0,0,0,Item０９５。
96,Item096,0,255,1,1,1,0,0,0,Item０９６。
97,Item097,0,255,1,1,1,0,0,0,Item０９７。
98,Item098,0,255,1,1,1,0,0,0,Item０９８。
99,Item099,0,255,1,1,1,0,0,0,Item０９９。
100,Item100,0,255,1,1,1,0,0,0,Item１００。
101,Item101,0,255,1,1,1,0,0,0,Item１０１。
102,Item102,0,255,1,1,1,0,0,0,Item１０２。
103,Item103,0,255,1,1,1,0,0,0,Item１０３。
104,Item104,0,255,1,1,1,0,0,0,Item１０４。
105,Item105,0,255,1,1,1,0,0,0,Item１０５。
106,Item106,0,255,1,1,1,0,0,0,Item１０６。
107,Item107,0,255,1,1,1,0,0,0,Item１０７。
108,Item108,0,255,1,1,1,0,0,0,Item１０８。
109,Item109,0,255,1,1,1,0,0,0,Item１０９。
110,Item110,0,255,1,1,1,0,0,0,Item１１０。
111,Item111,0,255,1,1,1,0,0,0,Item１１１。
112,Item112,0,255,1,1,1,0,0,0,Item１１２。
113,Item113,0,255,1,1,1,0,0,0,Item１１３。
114,Item114,0,255,1,1,1,0,0,0,Item１１４。
115,Item115,0,255,1,1,1,0,0,0,Item１１５。
116,Item116,0,255,1,1,1,0,0,0,Item１１６。
117,Item117,0,255,1,1,1,0,0,0,Item１１７。
118,Item118,0,255,1,1,1,0,0,0,Item１１８。
119,Item119,0,255,1,1,1,0,0,0,Item１１９。
120,Item120,0,255,1,1,1,0,0,0,Item１２０。
121,Item121,0,255,1,1,1,0,0,0,Item１２１。
122,Item122,0,255,1,1,1,0,0,0,Item１２２。
123,Item123,0,255,1,1,1,0,0,0,Item１２３。
124,Item124,0,255,1,1,1,0,0,0,Item１２４。
125,Item125,0,255,1,1,1,0,0,0,Item１２５。
126,Item126,0,255,1,1,1,0,0,0,Item１２６。
127,Item127,0,255,1,1,1,0,0,0,Item１２７。
128,Item128,0,255,1,1,1,0,0,0,Item１２８。
129,Item129,0,255,0,0,1,1,0,0,Item１２９。
130,Item130,0,255,0,0,1,1,0,0,Item１３０。
131,Item131,20,255,0,0,1,1,0,0,人形に持たせると無属性のスキルの威力を弱める。\n未実装。
132,耐炎の符,15000,2,0,0,1,1,0,0,人形に持たせると炎属性のスキルで結界を貫通されたとき威力を弱める。
133,耐水の符,15000,2,0,0,1,1,0,0,人形に持たせると水属性のスキルで結界を貫通されたとき威力を弱める。
134,耐然の符,15000,2,0,0,1,1,0,0,人形に持たせると自然属性のスキルで結界を貫通されたとき威力を弱める。
135,耐地の符,15000,2,0,0,1,1,0,0,人形に持たせると大地属性のスキルで結界を貫通されたとき威力を弱める。
136,耐鋼の符,15000,2,0,0,1,1,0,0,人形に持たせると鋼鉄属性のスキルで結界を貫通されたとき威力を弱める。
137,耐風の符,15000,2,0,0,1,1,0,0,人形に持たせると風属性のスキルで結界を貫通されたとき威力を弱める。
138,耐雷の符,15000,2,0,0,1,1,0,0,人形に持たせると雷属性のスキルで結界を貫通されたとき威力を弱める。
139,耐光の符,15000,2,0,0,1,1,0,0,人形に持たせると光属性のスキルで結界を貫通されたとき威力を弱める。
140,耐闇の符,15000,2,0,0,1,1,0,0,人形に持たせると闇属性のスキルで結界を貫通されたとき威力を弱める。
141,耐冥の符,15000,2,0,0,1,1,0,0,人形に持たせると冥属性のスキルで結界を貫通されたとき威力を弱める。
142,耐毒の符,15000,2,0,0,1,1,0,0,人形に持たせると毒属性のスキルで結界を貫通されたとき威力を弱める。
143,耐闘の符,15000,2,0,0,1,1,0,0,人形に持たせると闘属性のスキルで結界を貫通されたとき威力を弱める。
144,耐幻の符,15000,2,0,0,1,1,0,0,人形に持たせると幻属性のスキルで結界を貫通されたとき威力を弱める。
145,耐音の符,15000,2,0,0,1,1,0,0,人形に持たせると音属性のスキルで結界を貫通されたとき威力を弱める。
146,Item146,0,255,0,0,1,1,0,0,Item１４６。
147,Item147,0,255,0,0,1,1,0,0,Item１４７。
148,魚鱗の符,50000,2,0,0,1,1,0,0,人形に持たせるとピンチの時に集弾が上がる。
149,衡軛の符,50000,2,0,0,1,1,0,0,人形に持たせるとピンチの時に集防が上がる。
150,鶴翼の符,50000,2,0,0,1,1,0,0,人形に持たせるとピンチの時に散弾が上がる。
151,方円の符,50000,2,0,0,1,1,0,0,人形に持たせるとピンチの時に散防が上がる。
152,散兵の符,50000,2,0,0,1,1,0,0,人形に持たせるとピンチの時に俊敏が上がる。
153,偃月の符,50000,2,0,0,1,1,0,0,人形に持たせるとピンチの時に痛烈な一撃が出やすくなる。
154,方陣の符,50000,2,0,0,1,1,0,0,人形に持たせるとピンチの時に能力１つが大きく上がる。
155,鋒矢の符,50000,2,0,0,1,1,0,0,人形に持たせるとピンチの時に命中が上がる。
156,雁行の符,50000,2,0,0,1,1,0,0,人形に持たせるとピンチの時に回避が上がる。
157,Item157,0,255,0,0,1,1,0,0,Item１５７。
158,Item158,0,255,0,0,1,1,0,0,Item１５８。
159,Item159,0,255,0,0,1,1,0,0,Item１５９。
160,神速の符,15000,255,0,0,1,1,0,0,人形に持たせるとピンチの時に相手より先に行動できる。未実装
161,生命の符,50000,2,0,0,1,1,0,0,人形に持たせるとＨＰを少し回復する。
162,Item162,0,255,0,0,1,1,0,0,Item１６２。
163,Item163,0,255,0,0,1,1,0,0,Item１６３。
164,Item164,0,255,0,0,1,1,0,0,Item１６４。
165,治癒の符,50000,2,0,0,1,1,0,0,人形に持たせると状態異常を回復する。
166,按摩の符,20000,2,0,0,1,1,0,0,人形に持たせると麻痺を回復する。
167,覚醒の符,20000,2,0,0,1,1,0,0,人形に持たせると停止を回復する。
168,解毒の符,20000,2,0,0,1,1,0,0,人形に持たせると毒・猛毒を回復する。
169,八上の符,20000,2,0,0,1,1,0,0,人形に持たせると火傷・大火傷を回復する。
170,光明の符,20000,2,0,0,1,1,0,0,人形に持たせると暗闇を回復する。
171,安堵の符,20000,2,0,0,1,1,0,0,人形に持たせると恐怖を回復する。
172,気付の符,20000,2,0,0,1,1,0,0,人形に持たせると衰弱を回復する。
173,収拾の符,20000,2,0,0,1,1,0,0,人形に持たせると混乱を回復する。
174,Item174,0,255,0,0,1,1,0,0,Item１７４。
175,Item175,0,255,0,0,1,1,0,0,Item１７５。
176,Item176,0,255,0,0,1,1,0,0,Item１７６。
177,解呪の符,50000,2,0,0,1,1,0,0,人形に持たせると自由にスキルが出せなくなった時に１度だけ回復する。
178,Item178,0,255,0,0,1,1,0,0,Item１７８。
179,Item179,0,255,0,0,1,1,0,0,Item１７９。
180,手当の符,1500,2,0,0,1,1,0,0,人形に持たせるとＨＰを２０回復する。
181,再始の符,20,255,0,0,1,1,0,0,人形に持たせるとＳＰが切れた時に１０回復する。未実装
182,Item182,0,255,0,0,1,1,0,0,Item１８２。
183,Item183,0,255,0,0,1,1,0,0,Item１８３。
184,茨の符,50000,2,0,0,1,1,0,0,人形に持たせると攻撃スキルを受けた時に相手にダメージを与える。
185,反射の符,20,255,0,0,1,1,0,0,人形に持たせると拡散スキルを受けた時に相手にダメージを与える。未実装
186,Item186,0,255,0,0,1,1,0,0,Item１８６。
187,Item187,0,255,0,0,1,1,0,0,Item１８７。
188,Item188,0,255,0,0,1,1,0,0,Item１８８。
189,禊の符,100000,2,0,0,1,1,0,0,人形に持たせると能力が下がった時に１度だけ元の状態に戻す。
190,速攻の符,100000,2,0,0,1,1,0,0,人形に持たせると溜めが必要なスキルを１ターンで使う事が出来る。
191,Item191,0,255,0,0,1,1,0,0,Item１９１。
192,Item192,0,255,0,0,1,1,0,0,Item１９２。
193,Item193,0,255,0,0,1,1,0,0,Item１９３。
194,退場勧告,250000,2,0,0,1,1,0,0,持たせると攻撃を受けた時に相手を強制的に交代させる。
195,退却の心得書,250000,2,0,0,1,1,0,0,持たせると攻撃を受けた時に手持ちの人形と入れ替われる。
196,Item196,0,255,0,0,1,1,0,0,Item１９６。
197,Item197,0,255,0,0,1,1,0,0,Item１９７。
198,黒いチョーカー,250000,2,0,0,1,1,0,0,持たせるとＨＰが満タンの時に戦闘不能になるダメージを受けてもＨＰ１で耐える。
199,Item199,0,255,0,0,1,1,0,0,Item１９９。
200,Item200,0,255,0,0,1,1,0,0,Item２００。
201,ダイアモンド,25000,2,0,0,1,1,0,0,透明な宝石。\n持たせると一度だけ無属性のスキルの威力が上がる。
202,ルビー,25000,2,0,0,1,1,0,0,赤色の宝石。\n持たせると一度だけ炎属性のスキルの威力が上がる。
203,サファイア,25000,2,0,0,1,1,0,0,水色の宝石。\n持たせると一度だけ水属性のスキルの威力が上がる。
204,エメラルド,25000,2,0,0,1,1,0,0,深緑色の宝石。\n持たせると一度だけ自然属性のスキルの威力が上がる。
205,タイガーアイ,25000,2,0,0,1,1,0,0,茶色の宝石。\n持たせると一度だけ大地属性のスキルの威力が上がる。
206,ヘマタイト,25000,2,0,0,1,1,0,0,灰色の宝石。\n持たせると一度だけ鋼鉄属性のスキルの威力が上がる。
207,ヒスイ,25000,2,0,0,1,1,0,0,翡翠色の宝石。\n持たせると一度だけ風属性のスキルの威力が上がる。
208,トパーズ,25000,2,0,0,1,1,0,0,黄色の宝石。\n持たせると一度だけ雷属性のスキルの威力が上がる。
209,オパール,25000,2,0,0,1,1,0,0,虹色の宝石。\n持たせると一度だけ光属性のスキルの威力が上がる。
210,オブシディアン,25000,2,0,0,1,1,0,0,黒色の宝石。\n持たせると一度だけ闇属性のスキルの威力が上がる。
211,スギライト,25000,2,0,0,1,1,0,0,紫黒色の宝石。\n持たせると一度だけ冥属性のスキルの威力が上がる。
212,アメジスト,25000,2,0,0,1,1,0,0,紫色の宝石。\n持たせると一度だけ毒属性のスキルの威力が上がる。
213,アンバー,25000,2,0,0,1,1,0,0,橙色の宝石。\n持たせると一度だけ闘属性のスキルの威力が上がる。
214,モルガナイト,25000,2,0,0,1,1,0,0,牡丹色の宝石。\n持たせると一度だけ幻属性のスキルの威力が上がる。
215,オニキス,25000,2,0,0,1,1,0,0,縞模様の宝石。\n持たせると一度だけ音属性のスキルの威力が上がる。
216,Item216,0,255,0,0,1,1,0,0,Item２１６。
217,Item217,0,255,0,0,1,1,0,0,Item２１７。
218,Item218,0,255,0,0,1,1,0,0,Item２１８。
219,浮遊石,120000,2,0,0,1,1,0,0,持たせると大地属性のスキルを無効化するが 大地属性以外のスキルを受けるとなくなる。
220,反骨の心得書,250000,2,0,0,1,1,0,0,持たせると結界を貫通された時に集弾と散弾が大きく上がる。
221,呪いの経典,0,255,0,0,1,1,0,0,持たせるとターンの終わりにアビリティを失う。未実装
222,銅鏡,120000,2,0,0,1,1,0,0,青銅製の鏡。\n持たせると相手の能力が上がった時に自分の能力も上がる。
223,Item223,0,255,0,0,1,1,0,0,Item２２３。
224,Item224,0,255,0,0,1,1,0,0,Item２２４。
225,Item225,0,255,0,0,1,1,0,0,Item２２５。
226,Item226,0,255,0,0,1,1,0,0,Item２２６。
227,Item227,0,255,0,0,1,1,0,0,Item２２７。
228,Item228,0,255,0,0,1,1,0,0,Item２２８。
229,Item229,0,255,0,0,1,1,0,0,Item２２９。
230,Item230,0,255,0,0,1,1,0,0,Item２３０。
231,Item231,0,255,0,0,1,1,0,0,Item２３１。
232,Item232,0,255,0,0,1,1,0,0,Item２３２。
233,Item233,0,255,0,0,1,1,0,0,Item２３３。
234,Item234,0,255,0,0,1,1,0,0,Item２３４。
235,Item235,0,255,0,0,1,1,0,0,Item２３５。
236,Item236,0,255,0,0,1,1,0,0,Item２３６。
237,Item237,0,255,0,0,1,1,0,0,Item２３７。
238,Item238,0,255,0,0,1,1,0,0,Item２３８。
239,Item239,0,255,0,0,1,1,0,0,Item２３９。
240,Item240,0,255,0,0,1,1,0,0,Item２４０。
241,Item241,0,255,0,0,1,1,0,0,Item２４１。
242,Item242,0,255,0,0,1,1,0,0,Item２４２。
243,Item243,0,255,0,0,1,1,0,0,Item２４３。
244,Item244,0,255,0,0,1,1,0,0,Item２４４。
245,Item245,0,255,0,0,1,1,0,0,Item２４５。
246,Item246,0,255,0,0,1,1,0,0,Item２４６。
247,Item247,0,255,0,0,1,1,0,0,Item２４７。
248,Item248,0,255,0,0,1,1,0,0,Item２４８。
249,Item249,0,255,0,0,1,1,0,0,Item２４９。
250,Item250,0,255,0,0,1,1,0,0,Item２５０。
251,Item251,0,255,0,0,1,1,0,0,Item２５１。
252,Item252,0,255,0,0,1,1,0,0,Item２５２。
253,Item253,0,255,0,0,1,1,0,0,Item２５３。
254,Item254,0,255,0,0,1,1,0,0,Item２５４。
255,Item255,0,255,0,0,1,1,0,0,Item２５５。
256,Item256,0,255,0,0,1,1,0,0,Item２５６。
257,Item257,0,255,0,0,1,1,0,0,Item２５７。
258,Item258,0,255,0,0,1,1,0,0,Item２５８。
259,Item259,0,255,0,0,1,1,0,0,Item２５９。
260,Item260,0,255,0,0,1,1,0,0,Item２６０。
261,赤いリング,1000,3,0,0,1,1,0,0,赤色の指輪。\n持たせると集中スキルの威力が上がる。
262,青いピアス,1000,3,0,0,1,1,0,0,青色の耳飾り。\n持たせると拡散スキルの威力が上がる。
263,必殺の極意,120000,3,0,0,1,1,0,0,戦いの心得が書かれた書物。\n持たせると結界を貫通した時にあたえるダメージが増える。
264,藁人形,120000,3,0,0,1,1,0,0,呪術に使う藁人形。\n持たせるとスキルの威力が上がるが 攻撃すると自分もダメージを受ける。
265,こだわりリング,250000,3,0,0,1,1,0,0,持たせると集中スキルの威力が上がるが 同じスキルしか出せなくなる。
266,こだわりピアス,250000,3,0,0,1,1,0,0,持たせると拡散スキルの威力が上がるが 同じスキルしか出せなくなる。
267,こだわりベルト,250000,3,0,0,1,1,0,0,持たせると俊敏が上がるが 同じスキルしか出せなくなる。
268,連撃の極意,12000,3,0,0,1,1,0,0,戦いの心得が書かれた書物。\n持たせると同じスキルを出すごとに与えるダメージが増える。
269,鉄下駄,1000,3,0,0,1,1,0,0,鉄製の重たい下駄。\n持たせると俊敏が下がる。
270,ロザリオ,40000,3,0,0,1,1,0,0,十字架状の祈りに使う道具。\n持たせると相手のスキルが命中しにくくなる。
271,双眼鏡,40000,3,0,0,1,1,0,0,持たせるとスキルの命中率が上がる。
272,望遠鏡,40000,3,0,0,1,1,0,0,持たせると相手より後に行動した時にスキルの命中率が上がる。
273,タリスマン,40000,3,0,0,1,1,0,0,円盤状の御守り。\n持たせると相手にダメージを与えた時にＨＰを回復する。未実装
274,包帯,40000,3,0,0,1,1,0,0,手当に使う包帯。\n持たせると吸収スキルによる回復量を増やす。
275,マジックリング,40000,3,0,0,1,1,0,0,不思議な指輪。\n持たせると痛烈な一撃が出やすくなる。
276,黒いリング,40000,3,0,0,1,1,0,0,真っ黒な指輪。\n持たせると戦闘不能になる様なダメージを受けてもＨＰ１で耐える事がある。
277,丈夫なツル,0,255,0,0,1,1,0,0,持たせると締めつけるスキルの持続ターン数が固定される。未実装
278,丈夫な縄,40000,3,0,0,1,1,0,0,持たせると締めつけるスキルの威力を上げる。
279,覇者の証,40000,3,0,0,1,1,0,0,威厳のあるバッジ。\n持たせるとスキルが命中した時に相手を怯ませる事がある。
280,羽付の帽子,0,255,0,0,1,1,0,0,羽飾りの付いた帽子。\n持たせると相手より先に行動できる事がある。未実装
281,重たい甲冑,1500,3,0,0,1,1,0,0,持たせると相手より後に行動する。
282,兵糧丸,120000,3,0,0,1,1,0,0,便利な携行食糧。\n持たせると人形のＨＰが戦闘の間少しずつ回復する。
283,毒壺,25000,3,0,0,1,1,0,0,持たせると毒属性の人形はターン毎にＨＰが少しずつ回復する。\n毒属性以外に持たせるとダメージを受ける。
284,鳥兜の根,25000,3,0,0,1,1,0,0,猛毒のある根。\n持たせた人形を猛毒状態にする。
285,焼けた石,25000,3,0,0,1,1,0,0,火にくべた石。\n持たせた人形を火傷状態にする。
286,身代りの木札,5000,3,0,0,1,1,0,0,人型の木札。\n持たせると交換出来なくなった時にその効果を無効化する。
287,金のかんざし,250000,3,0,0,1,1,0,0,金色のかんざし。\n持たせると集防が上がるが 変化スキルを出せなくなる。
288,銀のかんざし,250000,3,0,0,1,1,0,0,銀色のかんざし。\n持たせると散防が上がるが 変化スキルを出せなくなる。
289,防護マスク,0,255,0,0,1,1,0,0,気密性の高いマスク。\n持たせると天候や粉系のスキルの影響を受けなくなる。未実装
290,小型ビット,10000,3,0,0,1,1,0,0,持たせると威力の低いスキルを受けた時に相手にもダメージを与える。
291,呪われた人形,3000,3,0,0,1,1,0,0,持っていると属性相性で無効の 相手のスキルが当たるようになる。
292,蛍石,120000,3,0,0,1,1,0,0,持たせるとフィールドプロテクト・バリアの持続ターン数が延びる。
293,大盾,5000,3,0,0,1,1,0,0,大型の盾。\n持たせると結界で阻んだ時にダメージを軽減するが 貫通されると大ダメージを受ける。
294,龍神の御守,5000,3,0,0,1,1,0,0,持たせると痛烈な一撃を受けなくなる。
295,Item295,0,255,0,0,1,1,0,0,Item２９５。
296,Item296,0,255,0,0,1,1,0,0,Item２９６。
297,Item297,0,255,0,0,1,1,0,0,Item２９７。
298,Item298,0,255,0,0,1,1,0,0,Item２９８。
299,Item299,0,255,0,0,1,1,0,0,Item２９９。
300,Item300,0,255,0,0,1,1,0,0,Item３００。
301,Item301,0,255,0,0,1,1,0,0,Item３０１。
302,Item302,0,255,0,0,1,1,0,0,Item３０２。
303,全能の霊石,250000,3,0,0,1,1,0,0,人形に持たせると全ての天候の時間がいつもより長くなる。
